instance_name,standard_mean_primal_violation,quantum_mean_primal_violation,quantum_violation_reduction_pct,winner
neos-3046615-murg,53.6,20.0,62.68656716417911,quantum_better
glass4,300000.0,300000.0,0.0,tie
neos-2657525-crna,5712.4,2650.8,53.595686576570266,quantum_better
ic97_potential,33.92299154495705,34.94080568801381,-3.0003667032369017,standard_better
cod105,0.0,0.0,0.0,tie
gmu-35-40,19.51819786777297,13.54038499346076,30.626868908744587,quantum_better
neos-4954672-berkel,7287.870178857574,7213.419204201135,1.0215738319876295,quantum_better
mcsched,934.8012325964122,1069.4845369182847,-14.407694344581612,standard_better
gmu-35-50,14.361541430510337,10.2984866196806,28.291216722725814,quantum_better
50v-10,148.1377590716266,136.1086075630725,8.120246710859071,quantum_better
p200x1188c,2583.022320916821,471.3805952175795,81.7508121629291,quantum_better
beasleyC3,21.717803405501712,15.815400322927648,27.177716697991773,quantum_better
